job_category;job_title;is_remote;no_degree_needed;has_insurance;schedule_type;job_country;posted_year;posted_month;annual_salary
Data Scientist;Data Scientist/Analyst;0;0;0;Full-time;United States;2023;12;152000
Data Scientist;Data Scientist/Analyst;0;0;0;Full-time;United States;2023;12;86000
Data Scientist;"Intern; Data Science";0;0;0;Full-time;Singapore;2023;12;46800
Data Scientist;"Intern; Data Science";0;0;0;Full-time;Singapore;2023;12;47840
Data Scientist;"Intern; Data Science";0;0;0;Full-time;Singapore;2023;12;101920
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;49920
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;100131
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;101535
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;110074
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;112975
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;119600
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;134035
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;147680
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;156000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;160160
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;161200
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;176800
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;198640
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;203840
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;100000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;111116
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;122500
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;125000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;131000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;132500
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;144825
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;150000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;155527
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;170001
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;90000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;49920
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;100131
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;101535
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;110074
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;112975
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;119600
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;134035
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;147680
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;156000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;160160
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;161200
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;176800
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;198640
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;203840
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;100000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;111116
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;122500
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;125000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;131000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;132500
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;144825
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;150000
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;155527
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;170001
Data Engineer;Data Engineer III;0;1;0;Full-time;United States;2023;12;90000
Senior Data Scientist;Sr. Data Scientist / ML Engineer;0;0;0;Full-time;United States;2023;12;150000
Data Engineer;Associate - Data Engineer;0;0;0;Full-time;India;2023;12;79950
Data Engineer;Data Engineer Azure;0;0;0;Full-time;Netherlands;2023;12;110000
Data Analyst;Data Conversion Analyst;1;1;0;Full-time;United States;2023;12;45760
Data Analyst;Data Conversion Analyst;1;1;0;Full-time;United States;2023;12;100000
Data Engineer;Data Engineer/Analyst;0;1;0;Full-time;United States;2023;12;82500
Data Scientist;Forecasting Analyst;0;0;0;Full-time;United States;2023;12;61500
Data Scientist;Forecasting Analyst;0;0;0;Full-time;United States;2023;12;62500
Data Scientist;Forecasting Analyst;0;0;0;Full-time;United States;2023;12;67500
Data Analyst;Compliance Data Analyst;0;1;0;Full-time;Sudan;2023;12;83200
Data Analyst;Compliance Data Analyst;0;1;0;Full-time;Sudan;2023;12;133120
Data Analyst;Compliance Data Analyst;0;1;0;Full-time;Sudan;2023;12;52500
Data Analyst;Compliance Data Analyst;0;1;0;Full-time;Sudan;2023;12;93027
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;90240.8
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;176800
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;112500
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;124000
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;137500
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;56700
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;75795
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;80000
Business Analyst;Senior Business Intelligence Analyst;1;0;0;Full-time;United States;2023;12;99150
Machine Learning Engineer;ML Engineer;0;0;0;Full-time;Peru;2023;12;128682
Machine Learning Engineer;ML Engineer;0;0;0;Full-time;Peru;2023;12;185500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;117468
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;192400
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;100740
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;114000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;147500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;150000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;152500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;160000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;170000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;171000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;173190
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;175000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;180000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;185000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;200000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;205000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;211733
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;217500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;220000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;221000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;225000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;232375
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;234500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;240000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;245000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;250000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;79200
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;89100
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;90000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;United States;2023;12;99150
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;117468
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;192400
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;100740
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;114000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;147500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;150000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;152500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;160000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;170000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;171000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;173190
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;175000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;180000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;185000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;200000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;205000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;211733
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;217500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;220000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;221000
